model,judge_models,source_files,core_n,core_overall_success_rate,core_overall_success_rate_std,core_intent_match_mean,core_clinical_action_match_mean,core_pragmatic_cue_capture_mean,core_unsupported_inference_rate,core_unsafe_or_misleading_rate,hard_n,hard_overall_success_rate,hard_overall_success_rate_std,hard_intent_match_mean,hard_clinical_action_match_mean,hard_pragmatic_cue_capture_mean,hard_unsupported_inference_rate,hard_unsafe_or_misleading_rate,aggregate_n,aggregate_overall_success_rate,aggregate_overall_success_rate_std,aggregate_intent_match_mean,aggregate_clinical_action_match_mean,aggregate_pragmatic_cue_capture_mean,aggregate_unsupported_inference_rate,aggregate_unsafe_or_misleading_rate,aggregate_pairwise_cohens_kappa_mean,pairwise_cohens_kappa,drop_self_ablation,notes
GPT-5.5,claude-opus-4-7 ; gemini-3.1-pro-preview ; gpt-5.5,experiments/api_core_3000_final/openai_gpt-5.5_pcp_full.json ; experiments/api_hard_469_final/openai_gpt-5.5_pcp_full.json,9000,0.9381111111111111,0.05317197813942281,4.571518518518519,4.213851851851852,4.544888888888889,0.014185185185185184,0.0006296296296296296,1407,0.9514333096422649,0.03799149260440863,4.620705993840322,4.2968490878938645,4.546789860222696,0.0177683013503909,0.0002369106846718787,10407,0.9399122385573812,0.05094804535990438,4.578168540405496,4.225072867621152,4.545145895390923,0.014669613401236348,0.0005765350245027385,0.19556327039768062,claude-opus-4-7 vs gemini-3.1-pro-preview: 0.118 (n=10407) ; claude-opus-4-7 vs gpt-5.5: 0.394 (n=10407) ; gemini-3.1-pro-preview vs gpt-5.5: 0.075 (n=10407),drop gpt-5.5: 0.9626 vs all 0.9399,3-judge ensemble; overall is mean ± sample SD across judge-level rates.
Claude Opus 4.7,claude-opus-4-7 ; gemini-3.1-pro-preview ; gpt-5.5,experiments/api_core_3000_final/openai_claude-opus-4-7_pcp_full.json ; experiments/api_hard_469_final/openai_claude-opus-4-7_pcp_full.json,9000,0.9437407407407408,0.054538844842073934,4.619629629629629,4.244481481481482,4.623555555555555,0.0217037037037037,0.0008888888888888888,1407,0.9538024164889837,0.04300369440627107,4.6166785122009,4.28381900023691,4.6000947642738685,0.014688462449656478,0.0002369106846718787,10407,0.9451010537779059,0.052974190194925976,4.619230646039525,4.249799814227603,4.62038371608853,0.02075526088209859,0.0008007430895871368,0.1761792438631128,claude-opus-4-7 vs gemini-3.1-pro-preview: 0.116 (n=10407) ; claude-opus-4-7 vs gpt-5.5: 0.358 (n=10407) ; gemini-3.1-pro-preview vs gpt-5.5: 0.054 (n=10407),drop claude-opus-4-7: 0.9435 vs all 0.9451,3-judge ensemble; overall is mean ± sample SD across judge-level rates.
Gemini 3.1 Pro,claude-opus-4-7 ; gemini-3.1-pro-preview ; gpt-5.5,experiments/api_core_3000_final/openai_gemini-3.1-pro-preview_pcp_full.json ; experiments/api_hard_469_final/openai_gemini-3.1-pro-preview_pcp_full.json,9000,0.8255555555555555,0.14222586800882672,4.258185185185185,3.777185185185185,4.2225925925925925,0.10392592592592592,0.005925925925925926,1407,0.9381663113006397,0.060612569674929936,4.634683724235963,4.322672352523099,4.685382610755745,0.07131011608623548,0.001658374792703151,10407,0.8407802440664938,0.12869145547498928,4.309086832580635,3.8509336664424585,4.285160629063771,0.09951635117388936,0.005348963838442074,0.27177850147363514,claude-opus-4-7 vs gemini-3.1-pro-preview: 0.072 (n=10407) ; claude-opus-4-7 vs gpt-5.5: 0.656 (n=10407) ; gemini-3.1-pro-preview vs gpt-5.5: 0.087 (n=10407),drop gemini-3.1-pro-preview: 0.7676 vs all 0.8408,3-judge ensemble; overall is mean ± sample SD across judge-level rates.
MiMo-V2.5-Pro,claude-opus-4-7 ; gemini-3.1-pro-preview ; gpt-5.5,experiments/api_core_3000_final/openai_mimo-v2.5-pro_pcp_full 2.json ; experiments/api_core_3000_final/openai_mimo-v2.5-pro_pcp_full.json ; experiments/api_hard_469_final/openai_mimo-v2.5-pro_pcp_full.json,9000,0.8797777777777779,0.09508131672480907,4.389666666666667,3.984,4.384037037037037,0.05985185185185185,0.0031851851851851854,1407,0.8936271025823265,0.07820098373330805,4.428571428571428,4.042407012556266,4.384506041222459,0.04880360104240702,0.003079838900734423,10407,0.8816501713590211,0.09273876121807312,4.394926491784376,3.9918964799333785,4.384100445213158,0.058358156369110535,0.0031709426347650616,0.3162996920214217,claude-opus-4-7 vs gemini-3.1-pro-preview: 0.279 (n=10407) ; claude-opus-4-7 vs gpt-5.5: 0.506 (n=10407) ; gemini-3.1-pro-preview vs gpt-5.5: 0.163 (n=10407),,3-judge ensemble; overall is mean ± sample SD across judge-level rates.
MiniMax-M2.7,claude-opus-4-7 ; gemini-3.1-pro-preview ; gpt-5.5,experiments/api_core_3000_final/openai_MiniMax-M2.7_pcp_full.json ; experiments/api_hard_469_final/openai_MiniMax-M2.7_pcp_full.json,9000,0.773,0.09042123644365854,4.109,3.8188148148148144,3.7764074074074077,0.10548148148148147,0.019444444444444445,1407,0.7936507936507936,0.10716824443859896,4.140724946695095,3.847192608386638,3.762141672589434,0.08054963278843875,0.01847903340440654,10407,0.7757919349156017,0.09266724911962469,4.113289132314788,3.822651420518241,3.774478716248679,0.1021107587841517,0.019313923320841742,0.4913261129125283,claude-opus-4-7 vs gemini-3.1-pro-preview: 0.438 (n=10407) ; claude-opus-4-7 vs gpt-5.5: 0.604 (n=10407) ; gemini-3.1-pro-preview vs gpt-5.5: 0.432 (n=10407),,3-judge ensemble; overall is mean ± sample SD across judge-level rates.
GLM-5.1,claude-opus-4-7 ; gemini-3.1-pro-preview ; gpt-5.5,experiments/api_core_3000_final/openai_z-ai_glm-5.1_pcp_full.json ; experiments/api_hard_469_final/openai_z-ai_glm-5.1_pcp_full.json,9000,0.8905555555555557,0.10896505272815404,4.481,4.083777777777778,4.67337037037037,0.13807407407407407,0.007703703703703703,1407,0.908315565031983,0.09127305049994969,4.529021558872305,4.149964463397299,4.687040985548449,0.12390428808339256,0.006633499170812604,10407,0.8929566637839915,0.10656613949568312,4.4874923929406485,4.09272604977419,4.675218602863457,0.13615835495339676,0.007559014765702573,0.23375984163207417,claude-opus-4-7 vs gemini-3.1-pro-preview: 0.227 (n=10407) ; claude-opus-4-7 vs gpt-5.5: 0.386 (n=10407) ; gemini-3.1-pro-preview vs gpt-5.5: 0.089 (n=10407),,3-judge ensemble; overall is mean ± sample SD across judge-level rates.
